x,y,xekf,yekf
5.00004409067,4.44075417705,483236.568191,6674528.49818
4.99938335177,4.41716408869,483236.567667,6674528.49776
4.99864525627,4.39432099322,483236.567671,6674528.49773
4.99848780036,4.36790769408,483236.567683,6674528.49773
4.99717051815,4.34240190918,483236.567717,6674528.49773
4.99836174399,4.31700055208,483236.568119,6674528.49796
4.99595918134,4.28951817285,483236.568472,6674528.49805
4.9946457129,4.26026594825,483236.568828,6674528.49814
4.99513984285,4.23577154195,483236.568828,6674528.49814
4.99741964415,4.21083246451,483236.568484,6674528.49861
4.99770154804,4.17145698518,483236.568124,6674528.49909
4.99867513217,4.11874048132,483236.567709,6674528.4996
5.00160866603,4.04166511074,483236.567651,6674528.49999
4.99951126613,3.96662613843,483236.567647,6674528.50038
4.99692606274,3.88769485243,483236.591426,6674528.50081
4.99308346212,3.81104848254,483236.591773,6674528.50109
4.98570987023,3.73781666299,483236.616145,6674528.50068
4.97413916141,3.66224686848,483236.618715,6674528.50008
4.96251768898,3.5873546293,483236.643066,6674528.49981
4.95185616985,3.51734188898,483236.64354,6674528.49941
4.93490876816,3.44327536272,483236.666593,6674528.49909
4.91633658111,3.37024405459,483236.667868,6674528.49864
4.89822854102,3.30059262039,483236.691802,6674528.49868
4.8788986383,3.22355333297,483236.69297,6674528.49859
4.86071978323,3.1488235225,483236.69408,6674528.4985
4.84308072366,3.07498086104,483236.716504,6674528.49793
4.82557798363,2.9998186864,483236.719483,6674528.49715
4.79385304824,2.92506946856,483236.74316,6674528.4978
4.77681716718,2.84980110032,483236.744966,6674528.49838
4.75835259445,2.7709368444,483236.768559,6674528.49735
4.74369411916,2.69488013908,483236.772551,6674528.49597
4.7272702707,2.62288023578,483236.795905,6674528.49554
4.70956949331,2.54816465545,483236.799424,6674528.49508
4.69085700996,2.47480561677,483236.801429,6674528.49464
4.67211958487,2.39835565723,483236.824675,6674528.49492
4.65483989567,2.32339516887,483236.825914,6674528.4951
4.63596344367,2.24668317102,483236.849016,6674528.49629
4.6151933223,2.17294024862,483236.85123,6674528.49742
4.59682427067,2.09802121017,483236.88348,6674528.49772
4.57870368101,2.02370598074,483236.88879,6674528.49768
4.55909358151,1.94642513758,483236.888997,6674528.49768
4.54051069357,1.87374693248,483236.934224,6674528.49818
4.51950626075,1.79394661589,483236.937507,6674528.49839
4.50046108849,1.71878076764,483236.940986,6674528.49861
4.48235703073,1.64578345418,483237.009087,6674528.50028
4.46287029423,1.57181507768,483237.017755,6674528.50161
4.44693947956,1.50283881417,483237.091974,6674528.50158
4.4484534394,1.50209168857,483237.09363,6674528.50097
4.44765429292,1.50056713726,483237.094328,6674528.49954
4.44452656433,1.49959026743,483237.165744,6674528.49812
4.44309038483,1.49980631424,483237.171173,6674528.4971
4.44285866804,1.50082686823,483237.244111,6674528.49357
4.44221605361,1.50104412949,483237.246925,6674528.49359
4.44096555002,1.50012412015,483237.316627,6674528.48585
4.44148806669,1.50027944054,483237.320615,6674528.48587
4.44137222506,1.49914799631,483237.321959,6674528.48611
4.44272903167,1.49953472661,483237.391876,6674528.47585
4.44404852856,1.50089031272,483237.396599,6674528.47469
4.44200156257,1.50240336405,483237.460852,6674528.46504
4.4421572499,1.50421778671,483237.472528,6674528.46293
4.43951246049,1.50273750769,483237.539708,6674528.45241
